Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
1,Alex Abrines\abrinal01,SG,23,OKC,41,0,14.2,1.8,4.5,.393,1.2,3.2,.374,0.6,1.3,.442,.527,0.8,0.9,.865,0.3,0.9,1.1,0.5,0.4,0.1,0.5,1.5,5.5
2,Quincy Acy\acyqu01,PF,26,TOT,17,0,10.6,1.8,3.8,.469,0.8,1.7,.483,0.9,2.1,.457,.578,1.0,1.2,.850,0.8,1.5,2.2,0.1,0.2,0.4,0.4,1.5,5.4
2,Quincy Acy\acyqu01,PF,26,DAL,6,0,8.0,0.8,2.8,.294,0.2,1.2,.143,0.7,1.7,.400,.324,0.3,0.5,.667,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.5,2.2
2,Quincy Acy\acyqu01,PF,26,BRK,11,0,12.0,2.3,4.3,.532,1.2,2.0,.591,1.1,2.3,.480,.670,1.4,1.5,.882,1.0,1.7,2.7,0.2,0.3,0.6,0.5,1.5,7.1
3,Steven Adams\adamsst01,C,23,OKC,49,49,30.5,5.0,8.6,.587,0.0,0.0,.000,5.0,8.5,.590,.587,2.1,3.1,.695,3.1,4.6,7.8,1.1,1.1,1.1,2.0,2.4,12.2
4,Arron Afflalo\afflaar01,SG,31,SAC,43,28,25.3,2.8,6.5,.429,1.0,2.6,.396,1.8,3.9,.450,.507,1.2,1.4,.883,0.2,1.8,2.0,1.2,0.3,0.1,0.7,1.7,7.8
5,Alexis Ajinca\ajincal01,C,28,NOP,21,10,14.1,1.9,4.1,.465,0.0,0.1,.000,1.9,4.0,.482,.465,0.5,0.7,.714,1.0,3.3,4.3,0.3,0.4,0.7,0.8,1.7,4.3
6,Cole Aldrich\aldrico01,C,28,MIN,46,0,9.7,0.8,1.5,.521,0.0,0.0,,0.8,1.5,.521,.521,0.3,0.5,.667,1.0,2.0,3.0,0.5,0.5,0.5,0.3,1.6,1.9
7,LaMarcus Aldridge\aldrila01,PF,31,SAS,45,45,32.1,6.9,14.0,.491,0.4,0.8,.457,6.5,13.2,.493,.504,3.4,4.2,.816,2.2,5.0,7.2,2.2,0.6,1.1,1.4,2.3,17.5
8,Lavoy Allen\allenla01,PF,27,IND,38,1,13.0,0.9,2.3,.409,0.0,0.0,.000,0.9,2.3,.414,.409,0.3,0.4,.813,1.0,1.6,2.6,0.9,0.3,0.3,0.3,1.2,2.2
9,Tony Allen\allento01,SG,35,MEM,45,43,28.2,4.0,8.6,.462,0.2,0.7,.226,3.8,7.9,.483,.471,1.3,2.0,.630,2.4,3.2,5.6,1.2,1.8,0.4,1.5,2.6,9.4
10,Al-Farouq Aminu\aminual01,SF,26,POR,33,23,28.7,2.7,7.6,.360,1.0,3.5,.278,1.8,4.1,.430,.424,1.1,1.6,.712,1.1,6.0,7.1,2.2,1.0,0.7,1.5,1.8,7.5
11,Chris Andersen\anderch01,C,38,CLE,12,0,9.5,0.8,1.8,.409,0.0,0.3,.000,0.8,1.6,.474,.409,0.8,1.2,.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3
12,Alan Anderson\anderal01,SF,34,LAC,19,0,11.4,1.1,3.2,.350,0.6,1.7,.344,0.5,1.5,.357,.442,0.4,0.5,.700,0.2,0.8,1.0,0.5,0.2,0.0,0.3,1.2,3.2
13,Justin Anderson\anderju01,SF,23,DAL,46,2,14.4,2.3,5.7,.404,0.8,2.5,.313,1.5,3.2,.476,.473,1.5,1.8,.798,0.8,2.3,3.1,0.6,0.6,0.3,0.8,1.3,6.8
14,Kyle Anderson\anderky01,SG,23,SAS,45,11,13.6,1.0,2.3,.423,0.2,0.5,.381,0.8,1.8,.434,.462,0.6,0.7,.875,0.4,2.2,2.6,1.2,0.7,0.4,0.6,0.8,2.8
15,Ryan Anderson\anderry01,PF,28,HOU,51,51,30.8,4.6,10.9,.423,2.8,6.9,.403,1.8,4.0,.458,.551,1.9,2.2,.858,1.6,3.5,5.1,0.9,0.5,0.2,0.9,2.1,13.9
16,Giannis Antetokounmpo\antetgi01,SG,22,MIL,49,49,35.2,8.5,16.1,.527,0.7,2.6,.280,7.8,13.6,.574,.549,5.5,7.0,.785,1.9,6.8,8.7,5.5,1.7,2.0,3.1,3.3,23.2
17,Carmelo Anthony\anthoca01,SF,32,NYK,51,51,33.7,8.3,19.1,.433,2.0,5.7,.356,6.2,13.4,.465,.486,4.3,5.2,.831,0.9,5.2,6.1,2.9,0.8,0.4,1.9,2.6,22.9
18,Joel Anthony\anthojo01,C,34,SAS,5,0,8.6,0.8,1.2,.667,0.0,0.0,,0.8,1.2,.667,.667,0.4,0.4,1.000,0.8,1.4,2.2,0.2,0.2,0.2,0.0,0.6,2.0
19,Trevor Ariza\arizatr01,SF,31,HOU,54,54,34.5,4.1,10.0,.411,2.5,7.1,.356,1.6,2.9,.544,.537,1.0,1.4,.720,0.6,4.8,5.5,2.2,1.9,0.2,0.9,1.6,11.7
20,Darrell Arthur\arthuda01,PF,28,DEN,25,5,15.6,2.6,5.4,.489,1.5,2.8,.529,1.2,2.6,.446,.626,0.4,0.4,.900,0.7,2.1,2.8,1.0,0.3,0.4,1.0,2.2,7.1
21,Omer Asik\asikom01,C,30,NOP,30,19,15.9,1.0,2.2,.477,0.0,0.0,,1.0,2.2,.477,.477,0.8,1.3,.590,1.6,3.8,5.4,0.5,0.2,0.3,0.4,1.6,2.8
22,D.J. Augustin\augusdj01,PG,29,ORL,52,20,20.6,2.8,7.1,.394,1.4,3.9,.360,1.4,3.2,.435,.492,1.6,2.0,.816,0.1,1.3,1.4,3.1,0.4,0.0,1.2,1.4,8.6
23,Luke Babbitt\babbilu01,SF,27,MIA,42,29,16.0,1.6,4.3,.383,1.1,2.9,.385,0.5,1.4,.379,.514,0.3,0.4,.733,0.2,2.0,2.2,0.5,0.4,0.2,0.4,1.6,4.7
24,Ron Baker\bakerro01,SG,23,NYK,25,3,11.6,1.2,3.3,.373,0.5,1.5,.324,0.8,1.8,.413,.446,0.4,0.7,.611,0.2,1.3,1.6,1.1,0.6,0.1,0.8,1.0,3.4
25,Wade Baldwin\baldwwa01,PG,20,MEM,24,1,12.9,1.1,3.5,.310,0.1,0.8,.111,1.0,2.8,.364,.321,1.1,1.3,.844,0.3,1.1,1.4,2.0,0.6,0.3,1.3,1.3,3.4
26,Leandro Barbosa\barbole01,SG,34,PHO,47,0,12.9,2.3,5.1,.458,0.5,1.1,.434,1.8,3.9,.465,.506,0.3,0.4,.833,0.2,1.2,1.4,1.2,0.4,0.1,0.5,1.1,5.4
27,J.J. Barea\bareajo01,PG,32,DAL,18,5,24.7,4.5,10.7,.422,1.4,4.1,.351,3.1,6.6,.466,.490,1.7,1.8,.939,0.3,2.6,2.9,4.9,0.5,0.1,1.7,0.7,12.2
28,Harrison Barnes\barneha02,PF,24,DAL,50,50,35.8,8.2,17.2,.473,1.0,3.0,.340,7.1,14.2,.501,.503,2.9,3.3,.862,1.3,4.1,5.4,1.5,0.9,0.2,1.3,1.6,20.2
29,Matt Barnes\barnema02,SF,36,SAC,48,13,24.7,2.6,7.0,.368,1.2,3.8,.319,1.4,3.2,.428,.455,0.8,1.1,.709,1.0,4.2,5.1,2.6,0.6,0.3,1.5,2.6,7.1
30,Will Barton\bartowi01,SG,26,DEN,36,17,28.1,4.6,10.3,.447,1.3,3.3,.395,3.3,6.9,.472,.511,2.4,3.3,.752,0.9,3.3,4.2,3.1,0.9,0.4,1.7,1.9,12.9
31,Brandon Bass\bassbr01,PF,31,LAC,34,0,12.2,2.2,3.7,.598,0.0,0.1,.500,2.2,3.7,.600,.602,1.4,1.5,.902,0.8,1.7,2.5,0.6,0.2,0.2,0.7,0.9,5.9
32,Nicolas Batum\batumni01,SG,28,CHO,48,48,34.5,4.9,12.2,.404,1.7,4.9,.350,3.2,7.3,.440,.474,3.2,3.8,.847,0.7,6.5,7.2,6.0,1.0,0.4,2.7,1.5,14.8
33,Jerryd Bayless\bayleje01,PG,28,PHI,3,1,23.7,3.7,10.7,.344,0.7,1.7,.400,3.0,9.0,.333,.375,3.0,3.3,.900,1.0,3.0,4.0,4.3,0.0,0.0,3.0,1.3,11.0
34,Aron Baynes\baynear01,C,30,DET,48,2,15.4,1.6,3.4,.488,0.0,0.0,,1.6,3.4,.488,.488,1.2,1.4,.864,1.2,2.7,3.9,0.3,0.3,0.4,0.7,2.3,4.5
35,Kent Bazemore\bazemke01,SF,27,ATL,49,46,27.4,4.1,10.3,.402,1.2,3.7,.331,2.9,6.6,.441,.461,1.5,2.1,.721,0.6,2.6,3.1,2.6,1.3,0.6,1.7,2.2,11.0
36,Bradley Beal\bealbr01,SG,23,WAS,46,46,34.3,7.7,16.5,.466,2.7,7.0,.389,4.9,9.4,.523,.549,3.7,4.5,.816,0.6,2.3,2.8,3.6,1.0,0.3,2.0,2.1,21.8
37,Malik Beasley\beaslma01,SG,20,DEN,14,0,5.4,1.1,2.7,.421,0.4,1.1,.375,0.7,1.6,.455,.500,0.4,0.6,.750,0.1,0.4,0.4,0.4,0.3,0.0,0.1,0.4,3.1
38,Michael Beasley\beaslmi01,SF,28,MIL,42,0,16.1,3.5,6.8,.512,0.3,0.8,.438,3.1,6.0,.522,.537,1.4,1.9,.734,0.7,2.8,3.5,1.0,0.5,0.5,1.2,1.6,8.7
39,Marco Belinelli\belinma01,SG,30,CHO,46,0,24.7,3.7,8.5,.441,1.5,4.0,.390,2.2,4.5,.486,.532,1.8,2.0,.883,0.2,2.3,2.5,1.9,0.7,0.1,0.9,1.3,10.8
40,DeAndre' Bembry\bembrde01,SF,22,ATL,21,0,9.7,1.2,2.6,.455,0.0,0.4,.000,1.2,2.2,.543,.455,0.3,0.7,.429,0.3,1.3,1.6,0.6,0.2,0.0,0.4,0.7,2.7
41,Dragan Bender\bendedr01,PF,19,PHO,38,0,12.7,1.2,3.3,.371,0.7,2.1,.321,0.5,1.1,.465,.476,0.1,0.2,.375,0.4,1.7,2.2,0.4,0.2,0.5,0.7,1.6,3.2
42,Anthony Bennett\bennean01,PF,23,BRK,23,1,11.5,1.7,4.0,.413,0.6,2.1,.271,1.1,1.9,.568,.484,1.1,1.6,.722,1.1,2.3,3.4,0.5,0.2,0.1,0.5,0.8,5.0
43,Davis Bertans\bertada01,PF,24,SAS,42,3,11.5,1.5,3.1,.462,0.9,2.3,.402,0.5,0.8,.629,.610,0.5,0.6,.808,0.3,1.1,1.4,0.8,0.3,0.5,0.4,1.1,4.3
44,Patrick Beverley\beverpa01,SG,28,HOU,40,40,31.1,3.4,8.1,.425,1.6,4.3,.382,1.8,3.8,.474,.526,0.7,0.9,.800,1.4,4.4,5.8,4.4,1.5,0.5,1.4,3.3,9.2
45,Bismack Biyombo\biyombi01,C,24,ORL,52,23,23.8,2.3,4.3,.527,0.0,0.0,,2.3,4.3,.527,.527,1.5,3.1,.475,1.9,5.4,7.3,1.0,0.3,1.3,1.2,2.4,6.0
46,Nemanja Bjelica\bjeline01,PF,28,MIN,49,1,17.2,2.1,5.2,.415,0.8,2.8,.296,1.3,2.4,.551,.494,0.7,1.0,.766,0.6,2.6,3.2,1.1,0.6,0.2,0.9,2.2,5.8
47,Tarik Black\blackta01,C,25,LAL,41,4,16.1,2.3,4.4,.517,0.0,0.0,.000,2.3,4.4,.520,.517,1.4,1.9,.722,2.3,3.1,5.4,0.6,0.4,0.5,0.8,2.7,5.9
48,Eric Bledsoe\bledser01,PG,27,PHO,51,51,33.4,7.1,15.9,.444,1.5,4.7,.328,5.5,11.2,.494,.493,5.8,6.8,.845,0.9,4.1,5.0,6.2,1.4,0.4,3.2,2.6,21.4
49,Bojan Bogdanovic\bogdabo02,SF,27,BRK,49,48,26.7,4.9,11.0,.443,1.8,4.9,.365,3.1,6.0,.507,.525,2.6,3.0,.865,0.4,3.0,3.4,1.6,0.4,0.1,1.6,1.8,14.1
50,Andrew Bogut\bogutan01,C,32,DAL,25,21,22.6,1.4,3.1,.468,0.0,0.0,.000,1.4,3.0,.474,.468,0.1,0.4,.273,2.1,6.3,8.4,1.9,0.5,1.0,1.6,3.2,3.0
51,Joel Bolomboy\bolomjo01,PF,23,UTA,9,0,2.2,0.3,0.6,.600,0.0,0.1,.000,0.3,0.4,.750,.600,0.2,0.4,.500,0.1,1.0,1.1,0.1,0.1,0.1,0.1,0.1,0.9
52,Devin Booker\bookede01,SG,20,PHO,50,50,34.8,7.5,17.8,.424,1.9,5.1,.373,5.6,12.7,.444,.477,4.2,5.1,.831,0.6,2.2,2.9,3.2,0.9,0.3,2.9,3.2,21.2
53,Trevor Booker\booketr01,PF,29,BRK,45,43,26.3,4.2,8.0,.519,0.3,1.1,.280,3.9,6.9,.558,.539,1.2,1.7,.679,2.1,6.4,8.5,2.2,1.3,0.5,1.8,2.2,9.8
54,Avery Bradley\bradlav01,SG,26,BOS,36,36,34.9,7.1,15.0,.475,2.1,5.2,.409,5.0,9.8,.510,.545,1.3,1.8,.762,1.1,5.8,6.9,2.4,1.3,0.2,1.8,2.7,17.7
55,Corey Brewer\breweco01,SF,30,HOU,54,8,15.4,1.6,3.9,.411,0.4,1.6,.233,1.2,2.3,.537,.459,0.5,0.8,.707,0.4,1.6,1.9,1.0,0.6,0.2,0.6,1.7,4.1
56,Malcolm Brogdon\brogdma01,SG,24,MIL,50,12,25.5,3.5,7.9,.438,1.0,2.3,.422,2.5,5.6,.445,.500,1.3,1.5,.865,0.6,2.2,2.8,4.2,1.2,0.1,1.6,1.8,9.2
57,Aaron Brooks\brookaa01,PG,32,IND,45,0,14.5,2.0,5.0,.408,0.7,2.2,.333,1.3,2.8,.468,.482,0.5,0.6,.786,0.3,0.8,1.1,2.2,0.5,0.2,1.1,1.4,5.3
58,Anthony Brown\brownan02,SF,24,TOT,11,0,14.5,1.6,4.5,.360,0.6,2.5,.259,1.0,2.1,.478,.430,0.0,0.0,,0.7,2.3,3.0,0.7,0.5,0.1,0.5,1.4,3.9
58,Anthony Brown\brownan02,SF,24,NOP,9,0,15.9,1.6,4.6,.341,0.7,2.7,.250,0.9,1.9,.471,.415,0.0,0.0,,0.7,2.2,2.9,0.7,0.6,0.1,0.6,1.4,3.8
58,Anthony Brown\brownan02,SF,24,ORL,2,0,8.0,2.0,4.5,.444,0.5,1.5,.333,1.5,3.0,.500,.500,0.0,0.0,,1.0,2.5,3.5,1.0,0.0,0.0,0.5,1.0,4.5
59,Bobby Brown\brownbo02,PG,32,HOU,15,0,2.9,0.5,1.8,.259,0.3,0.9,.286,0.2,0.9,.231,.333,0.0,0.0,,0.0,0.3,0.3,0.1,0.0,0.0,0.1,0.1,1.2
60,Jaylen Brown\brownja02,SF,20,BOS,49,9,14.8,2.0,4.7,.427,0.4,1.2,.300,1.7,3.5,.471,.466,1.1,1.5,.722,0.6,1.9,2.4,0.6,0.4,0.3,0.7,1.7,5.5
61,Nicolas Brussino\brussni01,SF,23,DAL,33,0,7.0,0.5,1.5,.347,0.3,1.0,.265,0.2,0.5,.533,.439,0.2,0.2,.857,0.3,0.9,1.2,0.7,0.3,0.1,0.3,0.6,1.5
62,Reggie Bullock\bullore01,SF,25,DET,13,3,15.9,2.2,4.8,.444,0.8,2.5,.313,1.4,2.4,.581,.524,0.2,0.3,.500,0.5,1.7,2.2,0.8,0.4,0.2,0.5,1.1,5.2
63,Trey Burke\burketr01,PG,24,WAS,46,0,12.4,2.0,4.5,.456,0.5,1.1,.423,1.6,3.3,.468,.510,0.3,0.5,.682,0.2,0.7,0.8,1.7,0.2,0.1,0.8,1.0,4.9
64,Alec Burks\burksal01,SG,25,UTA,15,0,13.1,2.3,5.0,.453,0.5,1.6,.292,1.8,3.4,.529,.500,1.6,2.5,.649,0.3,1.4,1.7,0.4,0.5,0.1,0.8,1.5,6.6
65,Jimmy Butler\butleji01,SF,27,CHI,48,47,36.6,7.6,16.6,.457,1.2,3.4,.348,6.4,13.2,.485,.492,8.2,9.5,.868,1.6,4.9,6.5,4.8,1.8,0.3,2.1,1.6,24.6
66,Bruno Caboclo\cabocbr01,SF,21,TOR,8,0,2.9,0.1,0.6,.200,0.1,0.4,.333,0.0,0.3,.000,.300,0.0,0.0,,0.4,0.4,0.8,0.4,0.3,0.0,0.3,0.4,0.4
67,Jose Calderon\caldejo01,PG,35,LAL,23,11,12.4,1.4,3.3,.416,0.5,1.5,.353,0.9,1.9,.465,.494,0.2,0.2,1.000,0.3,1.4,1.7,2.1,0.3,0.0,1.1,1.0,3.5
68,Kentavious Caldwell-Pope\caldwke01,SG,23,DET,46,46,33.8,5.1,12.2,.416,2.2,5.5,.395,2.9,6.7,.432,.504,2.0,2.5,.825,0.8,2.6,3.4,2.9,1.4,0.2,1.2,1.7,14.4
69,Isaiah Canaan\canaais01,SG,25,CHI,29,0,18.1,2.0,5.3,.377,0.8,2.9,.274,1.2,2.4,.500,.451,0.8,0.9,.889,0.2,1.3,1.6,1.1,0.7,0.0,0.7,1.1,5.6
70,Clint Capela\capelca01,C,22,HOU,39,34,23.4,5.4,8.4,.637,0.0,0.0,,5.4,8.4,.637,.637,1.2,2.5,.500,2.4,5.2,7.6,0.9,0.4,1.4,1.3,2.6,11.9
71,DeMarre Carroll\carrode01,SF,30,TOR,46,46,26.4,3.2,8.1,.398,1.6,4.7,.338,1.7,3.4,.481,.496,1.3,1.6,.787,0.9,2.9,3.7,0.8,1.2,0.4,0.7,2.0,9.3
72,Vince Carter\cartevi01,SG,40,MEM,46,0,24.2,2.7,6.9,.391,1.5,4.1,.364,1.2,2.8,.431,.498,1.3,1.8,.741,0.5,2.7,3.2,1.8,0.8,0.5,0.5,2.3,8.2
73,Michael Carter-Williams\cartemi01,PG,25,CHI,20,13,21.7,3.2,8.1,.389,0.4,1.8,.194,2.8,6.3,.444,.410,1.6,2.0,.775,0.8,3.9,4.7,2.5,0.8,0.4,1.7,2.7,8.2
74,Omri Casspi\casspom01,SF,28,SAC,22,2,18.0,2.4,5.3,.453,0.5,1.3,.379,1.9,4.0,.477,.500,0.5,1.0,.571,0.9,3.2,4.1,1.2,0.5,0.0,0.8,1.0,5.9
75,Willie Cauley-Stein\caulewi01,C,23,SAC,44,0,12.4,2.3,4.1,.567,0.0,0.0,.000,2.3,4.0,.573,.567,0.6,1.2,.549,0.9,1.6,2.5,0.4,0.5,0.5,0.5,1.8,5.3
76,Tyson Chandler\chandty01,C,34,PHO,42,41,28.4,3.4,4.9,.689,0.0,0.0,,3.4,4.9,.689,.689,1.9,2.6,.718,3.4,8.4,11.8,0.6,0.7,0.5,1.5,2.8,8.6
77,Wilson Chandler\chandwi01,SF,29,DEN,46,15,30.4,6.0,13.3,.447,1.5,4.3,.342,4.5,9.0,.498,.502,2.1,2.8,.738,1.5,5.1,6.7,2.1,0.8,0.4,1.7,2.3,15.5
78,Marquese Chriss\chrisma01,PF,19,PHO,51,44,18.3,2.9,6.8,.428,0.8,2.4,.317,2.2,4.4,.489,.484,1.1,1.7,.625,1.1,2.3,3.4,0.5,0.8,0.6,1.1,3.0,7.7
79,Rakeem Christmas\chrisra01,PF,25,IND,5,0,3.8,0.4,1.2,.333,0.0,0.0,,0.4,1.2,.333,.333,0.8,1.0,.800,0.4,0.6,1.0,0.2,0.2,0.4,0.0,0.4,1.6
80,Semaj Christon\chrisse01,PG,24,OKC,38,0,15.1,1.4,4.0,.342,0.2,1.1,.195,1.2,2.9,.396,.368,0.3,0.6,.524,0.3,1.1,1.4,2.4,0.4,0.1,0.7,1.3,3.2
81,Ian Clark\clarkia01,SG,25,GSW,46,0,14.1,2.5,5.2,.479,0.8,2.2,.390,1.7,3.0,.543,.560,0.7,0.9,.750,0.3,1.2,1.5,1.2,0.5,0.1,0.6,1.1,6.5
82,Jordan Clarkson\clarkjo01,SG,24,LAL,53,3,27.5,5.6,12.3,.454,1.3,3.8,.335,4.3,8.5,.507,.505,1.4,1.8,.792,0.7,2.1,2.8,2.1,1.2,0.1,1.8,1.8,13.8
83,Darren Collison\collida01,PG,29,SAC,43,39,30.0,4.9,10.3,.478,1.2,2.9,.415,3.7,7.4,.503,.536,2.0,2.4,.863,0.4,1.6,2.0,4.0,1.0,0.1,1.5,1.8,13.0
84,Nick Collison\collini01,PF,36,OKC,13,0,6.2,0.5,0.8,.600,0.0,0.0,,0.5,0.8,.600,.600,0.3,0.5,.571,0.3,0.8,1.1,0.6,0.1,0.1,0.2,0.7,1.2
85,Mike Conley\conlemi01,PG,29,MEM,41,40,32.5,6.3,14.4,.439,2.3,5.8,.397,4.0,8.6,.467,.519,4.2,4.9,.855,0.5,3.2,3.7,6.2,1.3,0.3,2.2,1.7,19.2
86,Pat Connaughton\connapa01,SG,24,POR,24,0,6.3,0.7,1.2,.571,0.2,0.4,.556,0.5,0.8,.579,.661,0.2,0.3,.667,0.2,0.6,0.8,0.5,0.1,0.1,0.1,0.3,1.7
87,DeMarcus Cousins\couside01,C,26,SAC,50,50,34.5,9.4,20.7,.453,1.7,4.7,.367,7.6,15.9,.478,.495,7.7,9.9,.777,2.1,8.5,10.6,4.7,1.4,1.4,3.6,3.7,28.1
88,Robert Covington\covinro01,SF,26,PHI,44,44,30.9,3.8,10.1,.381,1.9,6.0,.312,2.0,4.1,.483,.474,1.7,2.2,.800,1.4,4.7,6.1,1.6,1.8,0.9,2.0,3.0,11.3
89,Allen Crabbe\crabbal01,SG,24,POR,51,7,28.6,3.8,8.1,.466,1.6,3.5,.442,2.2,4.6,.485,.563,1.6,1.8,.870,0.3,2.6,2.8,1.3,0.6,0.2,0.8,2.1,10.7
90,Jamal Crawford\crawfja01,SG,36,LAC,50,1,26.8,4.4,11.1,.398,1.3,3.8,.330,3.1,7.2,.434,.455,1.9,2.2,.857,0.2,1.5,1.7,2.9,0.6,0.2,1.8,1.5,12.0
91,Jae Crowder\crowdja01,SF,26,BOS,42,42,32.5,4.9,10.0,.486,2.4,5.6,.426,2.5,4.5,.561,.604,2.1,2.4,.881,0.6,4.8,5.4,2.2,1.0,0.3,1.0,2.3,14.3
92,Dante Cunningham\cunnida01,SF,29,NOP,38,25,24.6,2.3,5.5,.428,1.1,2.8,.370,1.3,2.6,.490,.524,0.2,0.3,.583,0.8,3.3,4.1,0.6,0.5,0.5,0.4,1.6,5.9
93,Seth Curry\curryse01,PG,26,DAL,46,18,27.7,4.5,9.5,.468,1.8,4.3,.419,2.7,5.2,.508,.563,0.9,1.2,.782,0.4,2.1,2.5,2.7,1.2,0.1,1.2,1.8,11.7
94,Stephen Curry\curryst01,PG,28,GSW,50,50,33.7,8.6,18.0,.477,4.2,9.9,.423,4.4,8.0,.544,.594,4.3,4.6,.918,0.6,3.7,4.3,6.3,1.7,0.2,3.0,2.2,25.6
95,Troy Daniels\danietr01,SG,25,MEM,38,3,17.8,3.0,7.6,.392,2.1,5.2,.397,0.9,2.3,.382,.530,0.9,1.1,.825,0.2,1.0,1.2,0.7,0.4,0.1,0.6,1.4,8.9
96,Anthony Davis\davisan02,C,23,NOP,47,47,36.2,10.2,20.3,.501,0.5,1.6,.289,9.7,18.7,.519,.513,7.0,8.8,.795,2.4,9.9,12.2,2.2,1.3,2.4,2.6,2.3,27.8
97,Deyonta Davis\davisde01,C,20,MEM,25,0,7.3,0.8,1.6,.513,0.0,0.0,,0.8,1.6,.513,.513,0.3,0.6,.533,0.7,1.4,2.0,0.1,0.0,0.6,0.3,1.2,1.9
98,Ed Davis\davised01,PF,27,POR,42,11,17.0,1.5,2.9,.521,0.0,0.0,,1.5,2.9,.521,.521,1.1,1.6,.672,2.0,3.2,5.1,0.5,0.3,0.5,0.8,3.0,4.1
99,Dewayne Dedmon\dedmode01,C,27,SAS,44,6,15.9,2.0,3.3,.605,0.0,0.0,,2.0,3.3,.605,.605,1.0,1.3,.724,1.5,4.3,5.8,0.5,0.6,0.8,0.6,2.4,5.0
100,Sam Dekker\dekkesa01,SF,22,HOU,54,1,19.6,2.9,6.2,.472,0.9,2.7,.327,2.1,3.5,.584,.543,0.6,0.9,.588,1.4,2.6,4.0,1.1,0.6,0.3,0.7,1.2,7.3
101,Malcolm Delaney\delanma01,PG,27,ATL,51,0,17.7,2.2,5.7,.393,0.4,1.6,.259,1.8,4.1,.445,.429,1.0,1.3,.803,0.1,1.6,1.8,2.8,0.6,0.0,1.4,1.5,5.9
102,Matthew Dellavedova\dellama01,PG,26,MIL,45,38,26.7,2.8,7.1,.396,1.0,2.8,.354,1.8,4.3,.423,.466,1.1,1.3,.833,0.4,1.8,2.2,5.4,0.8,0.0,1.9,2.1,7.8
103,Luol Deng\denglu01,SF,31,LAL,49,49,27.3,3.1,7.9,.396,1.0,3.0,.329,2.1,4.9,.438,.459,0.8,1.1,.696,1.2,4.4,5.6,1.4,0.9,0.4,0.8,1.1,8.1
104,DeMar DeRozan\derozde01,SG,27,TOR,45,45,35.4,10.0,21.2,.470,0.4,1.4,.254,9.6,19.8,.485,.478,7.5,8.8,.851,1.0,4.4,5.4,3.9,1.2,0.2,2.4,1.9,27.8
105,Cheick Diallo\diallch01,PF,20,NOP,9,0,10.4,1.9,4.3,.436,0.0,0.0,,1.9,4.3,.436,.436,0.8,1.1,.700,1.3,2.2,3.6,0.3,0.3,0.3,0.2,1.0,4.6
106,Boris Diaw\diawbo01,PF,34,UTA,42,21,18.5,2.1,4.7,.444,0.4,1.3,.273,1.7,3.4,.510,.482,0.4,0.4,.833,0.5,1.5,2.0,2.2,0.2,0.0,1.3,1.3,4.9
107,Gorgui Dieng\dienggo01,PF,27,MIN,51,51,32.0,4.3,8.4,.516,0.1,0.4,.318,4.2,7.9,.527,.525,1.5,1.9,.773,2.3,5.5,7.8,2.0,0.9,1.2,1.4,3.2,10.2
108,Spencer Dinwiddie\dinwisp01,PG,23,BRK,27,11,21.1,2.1,5.0,.433,0.5,1.3,.382,1.7,3.7,.450,.481,1.7,2.1,.810,0.4,2.4,2.7,2.6,0.4,0.4,1.2,2.2,6.5
109,Toney Douglas\douglto01,PG,30,MEM,9,0,15.4,1.9,4.8,.395,0.3,1.4,.231,1.6,3.3,.467,.430,0.8,1.0,.778,0.2,2.4,2.7,2.1,0.8,0.1,0.9,1.8,4.9
110,Goran Dragic\dragigo01,PG,30,MIA,43,43,34.2,7.1,15.0,.474,1.6,3.8,.432,5.5,11.2,.489,.529,4.0,5.1,.776,0.7,3.2,4.0,6.4,1.0,0.2,3.1,2.8,19.8
111,Andre Drummond\drumman01,C,23,DET,50,50,30.7,6.3,11.8,.535,0.0,0.1,.400,6.3,11.7,.536,.537,1.9,4.4,.438,4.0,9.7,13.7,1.1,1.7,1.2,2.1,3.0,14.6
112,Jared Dudley\dudleja01,PF,31,PHO,34,7,21.1,2.6,5.3,.481,1.3,3.1,.423,1.3,2.3,.558,.602,0.7,1.1,.622,0.5,2.7,3.2,1.5,0.7,0.2,1.1,2.4,7.1
113,Mike Dunleavy\dunlemi02,SF,36,TOT,36,2,16.7,1.9,4.4,.424,1.0,2.7,.381,0.8,1.7,.492,.541,0.6,0.8,.767,0.3,1.9,2.3,1.0,0.3,0.1,0.7,1.4,5.4
113,Mike Dunleavy\dunlemi02,SF,36,CLE,23,2,15.9,1.6,3.9,.400,0.9,2.5,.351,0.7,1.4,.485,.511,0.6,0.8,.737,0.2,1.8,2.0,0.9,0.3,0.1,0.6,1.4,4.6
113,Mike Dunleavy\dunlemi02,SF,36,ATL,13,0,18.0,2.4,5.2,.456,1.3,3.1,.425,1.1,2.2,.500,.581,0.7,0.8,.818,0.5,2.2,2.7,1.2,0.4,0.2,0.8,1.3,6.8
